Id,Name,CardNumber,Color,Type,Subtypes,Cost,Inkable,Rarity,Strength,Willpower,LoreValue,MoveCost,SetNumber,SetName,Abilities,RulesText,FlavorText,Artist,Image,OwnedNumber
370,Chiot dalmatien - Frétille de joie,4,Amber,characters,"Storyborn, Chiot",2,True,Common,2.0,3.0,1.0,,3,Les Terres d'Encres,,"D'OÙ SORTENT-ILS, ENFIN? Vous pouvez avoir jusqu'à 99 copies de Chiot dalmatien - Frétille de joie dans votre deck.","D'abord, ils volent votre cœur... puis votre fauteuil.",Kapik,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/4e_0560a467d5f5e8a48d1cc243fe874a143a1d8bdd.jpg,0
371,Amadou gentil - Le docteur,5,Amber,characters,"Storyborn, Allié",4,True,Common,1.0,5.0,2.0,,3,Les Terres d'Encres,Rempart,"Rempart (Ce personnage peut entrer en jeu épuisé. Lorsqu'il vous défie, un personnage adverse doit, si possible, choisir l'un de vos personnages avec Rempart.)",Vous vous rendez dans les Terres d'Encres? Revenez me voir si vous avez besoin d'être remis sur pied.,Jeanne Plounevez,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/5_68b6298466dcae9610f1a3f91be43d1b72cf821d.jpg,0
372,Kida - Atlante,6,Amber,characters,"Storyborn, Héros, Princesse",1,True,Common,2.0,2.0,1.0,,3,Les Terres d'Encres,,,,Nicoletta Baldari,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/6_8aaab7f26af321fa02399300029f16166bcb5dc1.jpg,0
373,Kida - Protectrice de l'Atlantide,7,Amber,characters,"Floodborn, Héros, Princesse",5,True,Legendary,3.0,5.0,2.0,,3,Les Terres d'Encres,Alter,"Alter 3 (Vous pouvez payer 3 pour jouer ce personnage sur l'un de vos personnages Kida.) PEUT-ÊTRE POURRONS-NOUS SAUVER NOTRE AVENIR Lorsque vous jouez ce personnage, tous les personnages subissent -3 jusqu'au début de votre prochain tour.",Elle a été choisie. —Roi Kashekim Nedakh,Adam Fenton,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/7_0200e6799669291878871368ed3c509725759b86.jpg,0
374,Lucky - Le 15e chiot,8,Amber,characters,"Storyborn, Chiot",4,False,Rare,2.0,3.0,1.0,,3,Les Terres d'Encres,,"CE SERA UN COSTAUD – Révélez les 3 premières cartes de votre pioche. Vous pouvez ajouter toutes les cartes personnages coûtant 2 ou moins à votre main. Remettez le reste sous votre pioche, dans l'ordre de votre choix. AMOUR DE CHIOT Si vous avez au moins 4 autres cartes personnages en jeu lorsque ce personnage est envoyé à l'aventure, vos autres personnages gagnent +1 pour le reste de ce tour.",,Brian Weisz,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/8_50751e159766edfa7e64915ce6d21940b667159e.jpg,0
375,Minnie - Artiste musicale,9,Amber,characters,"Dreamborn, Héros",2,True,Rare,1.0,3.0,1.0,,3,Les Terres d'Encres,Mélomane,"Mélomane 3 (Ce personnage est considéré comme ayant un coût de 3 pour chanter des chansons.) GARDE DU CORPS Chaque fois que vous jouez un personnage avec Rempart, vous pouvez choisir un personnage et lui retirer jusqu'à 2 jetons Dommage.",Ses talents musicaux sont au Top!,Erika Wiseman,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/9_093c19329185b300e0099945202373ddd0e99c04.jpg,0
376,Miss bianca - Agente de S.O.S Société,10,Amber,characters,"Storyborn, Héros",2,True,Common,2.0,2.0,1.0,,3,Les Terres d'Encres,Mélomane,Mélomane 4 (Ce personnage est considéré comme ayant un coût de 4 pour chanter des chansons.),Notre société a toujours répondu présente à qui lui a demandé du secours. %—M. le Président,Jeff Merghart,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/10_4c271e6aadee9165f25808a93c9c02226d8ee3de.jpg,0
377,Mr. snoops - Homme d'affaires inepte,11,Amber,characters,"Dreamborn, Allié",6,True,Common,4.0,8.0,2.0,,3,Les Terres d'Encres,,,"C'est simple, Mr. Snoops! Je veux cet éclat de Lore! Celui qui brille comme un diamant!%—Madame Médusa",Alexandria Neonakis,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/11_f33d6f6c9a2e57c846801c289d556c9c5f9d9f91.jpg,0
378,Nani - Sœur protectrice,12,Amber,characters,"Storyborn, Héros",5,True,Uncommon,3.0,6.0,2.0,,3,Les Terres d'Encres,Rempart,"Rempart (Ce personnage peut entrer en jeu épuisé. Lorsqu'il vous défie, un personnage adverse doit, si possible, choisir l'un de vos personnages avec Rempart.)","Laisse-moi m'en occuper, Lilo.",Shannon Hallstein,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/12_d409f1b83f7e6d2305948e0f60d02f252bce6f95.jpg,0
379,Orville - As de l'aviation,13,Amber,characters,"Storyborn, Allié",2,True,Common,1.0,4.0,1.0,,3,Les Terres d'Encres,,,"Bon sang, regardez la vitesse de ces engins! Comment vous appelez ça, déjà? Des Encre-jets? J'aimerais pouvoir voler comme ça.",Isaiah Mesq,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/13_a905bc98ca41bc37b682e65b98dc0b089cbc112a.jpg,0
380,Patch - Chiot intimidant,14,Amber,characters,"Storyborn, Chiot",4,True,Common,3.0,4.0,1.0,,3,Les Terres d'Encres,,ABOIEMENT – Choisissez un personnage qui subit -2 jusqu'au début de votre prochain tour.,"Tout comme Ouragan, il tiendra tête à n'importe quel méchant.",Ellie Horie,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/14_e4246f4ac2175a6eed27ae0559d4bb2eba4f78b5.jpg,0
381,Perdita - Mère dévouée,15,Amber,characters,"Storyborn, Héros",6,False,Legendary,1.0,6.0,2.0,,3,Les Terres d'Encres,,"ALLONS, LES ENFANTS À chaque fois que vous jouez ce personnage ou qu'il est envoyé à l'aventure, vous pouvez jouer gratuitement un personnage de votre défausse coûtant 2 ou moins.",Ses chiots la suivront partout.,Defne Tözüm / Livio Cacciatore,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/15_377533e4924cb63403932da8a1a4bbe3cdb97b9a.jpg,0
382,Porcinet - Capitaine pirate de Winnie,16,Amber,characters,"Dreamborn, Héros, Pirate, Capitaine",2,True,Super,2.0,2.0,1.0,,3,Les Terres d'Encres,,"ET JE SERAI LE CAPITAINE! Tant que vous avez au moins 2 autres personnages en jeu, ce personnage gagne +2.","Yo-ho! Il y a de l’éclat de Lore là dehors, et je vais le t-trouver!",Grace Tran,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/16_5b8b722e91ef2514386ee07e0104ab8dcbb1be29.jpg,0
383,Pluto - Protecteur déterminé,17,Amber,characters,"Floodborn, Allié",7,True,Rare,3.0,8.0,2.0,,3,Les Terres d'Encres,"Alter, Rempart","Alter 5 (Vous pouvez payer 5 pour jouer ce personnage sur l'un de vos personnages Pluto.) Rempart (Ce personnage peut entrer en jeu épuisé. Lorsqu'il vous défie, un personnage adverse doit, si possible, choisir l'un de vos personnages avec Rempart.) CHIEN DE GARDE Au début de votre tour, retirez jusqu'à 3 jetons Dommage de ce personnage.",,Dave Alvarez / Alice Pisoni,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/17_0924ec0cfa023637b98852f6d69fcd305d66d833.jpg,0
384,Pluto - Gentil cabot,18,Amber,characters,"Storyborn, Allié",1,False,Uncommon,0.0,2.0,1.0,,3,Les Terres d'Encres,,BON CHIEN – Le prochain personnage que vous jouez durant ce tour vous coûte 1 de moins.,Il est impatient de voir arriver de nouveaux amis!,Jiahui Eva Gao,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/18_625cca3fc4941f515634851db8bdd915b8226114.jpg,0
385,Pongo - Père persévérant,19,Amber,characters,"Storyborn, Héros",3,True,Super,3.0,2.0,1.0,,3,Les Terres d'Encres,,"ABOIEMENT DU SOIR Une fois par tour, vous pouvez payer 2 pour révéler la première carte de votre pioche. S'il s'agit d'une carte Personnage, ajoutez-la à votre main. Sinon, remettez-la sous votre pioche.",Nous retrouverons notre chemin. Je le sais!,Grace Tran,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/19_961fe39b66e93ed5fb4b4e4e06f6e1362d8df83b.jpg,0
386,La reine de cœur - Impératrice du Pays des Merveilles,20,Amber,characters,"Dreamborn, Méchant, Reine",3,True,Uncommon,3.0,3.0,1.0,,3,Les Terres d'Encres,,"TOUS LES MOYENS SONT À MOI Chaque fois que ce personnage est envoyé à l'aventure, vos autres personnages Méchant gagnent +1 pour le reste de ce tour.","Plus elle revendique des territoires des Terres d'Encres, plus elle en veut.",Brianna Garcia,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/20_43196c3fba2fd1a085f2b8e15f3a4769e9e11904.jpg,0
387,Rolly - Chiot affamé,21,Amber,characters,"Storyborn, Chiot",3,True,Uncommon,3.0,3.0,1.0,,3,Les Terres d'Encres,Soutien,"Soutien (Lorsque ce personnage est envoyé à l'aventure, vous pouvez ajouter sa à celle d'un autre personnage au choix pour le reste de ce tour.)","J'ai faim, maman. C'est vrai tu sais.",Defne Tözüm / Denny Minonne,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/21_f5255488106152ff9f86d412bb16796d7935277a.jpg,0
388,La fée clochette - Fée généreuse,22,Amber,characters,"Storyborn, Allié, Fée",4,False,Uncommon,1.0,4.0,1.0,,3,Les Terres d'Encres,,"NOUVELLE AMITIÉ Lorsque vous jouez ce personnage, regardez les 4 premières cartes de votre pioche. Vous pouvez révéler un personnage et l'ajouter à votre main. Remettez le reste sous votre pioche, dans l'ordre de votre choix.",Une jolie poignée de baies pour commencer une belle amitié.,Aisha Durmagambetova,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/22_b10d1b70fe6f907fa8ca188aa2fb1f1ff146599e.jpg,0
389,Wendy darling - Talentueuse navigatrice,23,Amber,characters,"Dreamborn, Héros",2,True,Uncommon,1.0,3.0,2.0,,3,Les Terres d'Encres,,,"Avec l'amélioration de la Fée Clochette en place, Wendy les emmena dans les cieux pour retrouver la sirène disparue.",Aubrey Archer,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/23_1a939b17d48d1dbcd945a9b363cf896293ce19a7.jpg,0
1691,99 chiots,24,Amber,actions,,5,False,Uncommon,,,,,3,Les Terres d'Encres,,"Chaque fois que l'un de vos personnages est envoyé à l'aventure durant ce tour, gagnez 1 éclat de Lore.","Deux, quatre, six et trois font neuf, plus deux font onze... —Roger Radcliff",Agnes Christianson,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/24_0fef3d6f42d3d4fb3b2a595cf537d25fc744ab54.jpg,0
1692,Ordres de la patronne,25,Amber,actions,,1,True,Common,,,,,3,Les Terres d'Encres,,"Choisissez un personnage, il gagne Soutien pour le reste de ce tour. (Lorsque ce personnage est envoyé à l'aventure, vous pouvez ajouter sa à celle d'un autre personnage au choix pour le reste de ce tour.)",Mr. Snoops! Je sais que vous pouvez faire mieux que ça! Trouvez-moi ces éclats de Lore!%—Madame Médusa,Zuzana Sokolova / Livio Cacciatore,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/25_9043d63dfdf5b177078a3b8568354e62edb28941.jpg,0
1693,Guéris les blessures,26,Amber,actions,Chanson,3,True,Common,,,,,3,Les Terres d'Encres,,(Vous pouvez un personnage coûtant 3 ou plus pour chanter cette chanson gratuitement.) Choisissez un personnage et retirez-lui jusqu'à 3 jetons Dommage. Piochez une carte.,Répands ta magie Inverse le temps…,Monica Catalano,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/26_bd6ee37735fe481bb31e087adc405cec41d35394.jpg,0
1694,Réparation de fortune,27,Amber,actions,,1,True,Common,,,,,3,Les Terres d'Encres,,Choisissez un lieu et retirez-lui jusqu'à 3 jetons Dommage.,"Comme neuf! Enfin, presque.",Wouter Bruneel,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/27_64904a082e68a24b16dc079bd87956e2c0faa629.jpg,0
1695,Il en faut peu pour être heureux,28,Amber,actions,Chanson,2,True,Rare,,,,,3,Les Terres d'Encres,,"(Vous pouvez un personnage coûtant 2 ou plus pour chanter cette chanson gratuitement.) Choisissez un adversaire, il révèle sa main et défausse une carte non-Personnage de votre choix.",Il faut se satisfaire du nécessaire…,Maxine Vee / David Navarro Arenas,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/28_1e966bdc47411ee77acdfd38c85d4e972a9f9ceb.jpg,0
1522,Eau de pluie purifiante,29,Amber,items,,2,True,Common,,,,,3,Les Terres d'Encres,,ANCIEN POUVOIR Bannissez cet objet – Retirez jusqu'à 2 jetons Dommage de chacun de vos personnages.,La pluie fera fondre la pierre et les dragons voleront de nouveau.,"Michael ""Cookie"" Niewiadomy",https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/29_52cb940aabff1ca3b866f34dee816f0c47d4ffc5.jpg,0
526,Stitch - Rock star,30,Amber,characters,"Floodborn, Héros, Alien",6,True,Enchanted,3.0,5.0,3.0,,3,Les Terres d'Encres,Alter,"Alter 4 (Vous pouvez payer 4 pour jouer ce personnage sur l'un de vos personnages Stitch.) FANS DÉCHAÎNÉS Chaque fois que vous jouez un personnage coûtant 2 ou moins, vous pouvez tout de suite l'épuiser pour piocher une carte.","L'avantage d'un concert sur la plage, c'est qu'il y a toujours de la place pour accueillir plus de monde.",Nicholas Kole,https://api.lorcana.ravensburger.com/images/fr/promo1/cards/367x512/30_b305bae0a2605eccad134549bcc50f2033d3ef09.jpg,0
1523,Cœur de l'atlantide,30,Amber,items,,4,False,Rare,,,,,3,Les Terres d'Encres,,SOURCE DE VIE – Le prochain personnage que vous jouez durant ce tour vous coûte 2 de moins.,"Voilà ce qui vous préserve, toi et toute l'Atlantide, et qui vous maintient en vie!%—Milo Thatch",Elliot Baum / Viv Tanner,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/30_6c8944f3556aff9289f0df9a5edd6bd38354fe83.jpg,0
1524,Clé de turbo,31,Amber,items,,2,True,Uncommon,,,,,3,Les Terres d'Encres,,RÉPARATION – Choisissez un Lieu et retirez-lui jusqu'à 2 jetons Dommage.,Un bon outil fait toute la différence.,Ellie Horie,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/31_a18215039a3453bcb47af9e7869d722000a3e768.jpg,0
1416,Le pays imaginaire - Lagune aux Sirènes,32,Amber,locations,,1,True,Common,,4.0,1.0,1.0,3,Les Terres d'Encres,,,"Les sirènes racontèrent à Peter qu'il y a quelques jours, elles avaient vu des objets qui flottaient… mais elles étaient plus préoccupées par la disparition de l'une de leurs sœurs.",Cécile Carre,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/32_ab52bd005add4c6aa52b55101fac06a3fe117d31.jpg,0
1417,La terre des lions - Le rocher des lions,33,Amber,locations,,2,False,Rare,,7.0,1.0,2.0,3,Les Terres d'Encres,,"C'EST COMME LES MAILLONS D'UNE CHAÎNE Les personnages sur ce lieu gagnent +2. DEMEURE DES LIONS Si un personnage Prince ou Roi se trouve sur ce lieu, jouer des personnages vous coûte 1 de moins.",,Beverly Arce / Jonathan Livslyst,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/33_50854374ba2ff78a4ede51435dd9d49f724f65d6.jpg,0
1418,Chez tiana - Restaurant de jazz,34,Amber,locations,,3,False,Uncommon,,8.0,1.0,2.0,3,Les Terres d'Encres,,SOIR DE SORTIE Les personnages sur ce lieu ne peuvent pas être défiés.,"À la Nouvelle-Orléans, les rêves peuvent devenir réalité.",Valerio Buonfantino,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/34_ca3d3b73a4ff89a2959634894a2410f218a6af92.jpg,0
390,Alice - Alchimiste théinée,35,Amethyst,characters,"Dreamborn, Héros, Mage",6,True,Super,4.0,4.0,2.0,,3,Les Terres d'Encres,,"TRÈS TRÈS CURIEUX — Choisissez un personnage adverse et épuisez-le, ainsi que tous les personnages adverses du même nom.","Avec les bonnes feuilles de thé et un peu de magie, elle crée la tasse parfaite pour n'importe quel invité.",Nicola Saviori / Raquel Villanueva,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/35_d2a9b7e3fd3e9ca3758e1fc7c2b9edf615901444.jpg,0
391,Adeptes de chernabog - Créatures du mal,36,Amethyst,characters,"Storyborn, Allié",1,True,Uncommon,2.0,1.0,1.0,,3,Les Terres d'Encres,,"ÂMES SANS REPOS Chaque fois que ce personnage est envoyé à l'aventure, vous pouvez le bannir pour piocher une carte.",Que règne le chaos.,Monica Catalano,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/36_2a177929a9547215db4034f92353039af9d7063b.jpg,0
392,Diablo - Animal de compagnie fidèle,37,Amethyst,characters,"Dreamborn, Allié",1,True,Common,2.0,1.0,1.0,,3,Les Terres d'Encres,,"À LA RECHERCHE D'AURORE Chaque fois que vous jouez un personnage Maléfique, vous pouvez regarder la première carte de votre pioche. Remettez-la soit sur le dessus de votre pioche, soit en dessous.","Avec un peu de magie enrichie à l'encre, rien ne lui échappe.",Agnes Christianson,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/37_20e1767993ee7b032c63d549a154e3a755704db4.jpg,0
393,Génie - Ami encourageant,38,Amethyst,characters,"Storyborn, Allié",4,False,Super,3.0,5.0,1.0,,3,Les Terres d'Encres,,"TROIS VŒUX Chaque fois que ce personnage est envoyé à l'aventure, vous pouvez le remélanger dans votre pioche, puis piocher 3 cartes.",Le voici en direct de la lampe pour exaucer tous vos souhaits.,Koni,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/38_1048c2091fb1f059b3e22101dbc03903852f7214.jpg,0
394,Hydros - Titan de glace,39,Amethyst,characters,"Storyborn, Titan",3,True,Uncommon,2.0,2.0,2.0,,3,Les Terres d'Encres,,BLIZZARD – Choisissez un personnage et épuisez-le.,Refroidir Zeus!,Alice Pisoni,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/39_05fd0280569fdf72bcb590e18186bbfe3e4924e8.jpg,0
395,Iago - Gentil Coco,40,Amethyst,characters,"Storyborn, Allié",3,True,Common,3.0,2.0,1.0,,3,Les Terres d'Encres,Insaisissable,Insaisissable (Seuls les personnages avec Insaisissable peuvent défier ce personnage.),Votre majesté a l'art d'amadouer les plus stupides des animaux. %—Jafar,Giulia Riva,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/40_da30b398981de3bfe4a44afd715d8963f30c2387.jpg,0
396,Jafar - Voleur de lampe,41,Amethyst,characters,"Storyborn, Méchant, Mage",3,True,Uncommon,2.0,2.0,2.0,,3,Les Terres d'Encres,,"JE SUIS TON MAÎTRE, À PRÉSENT Lorsque vous jouez ce personnage, regardez les 2 premières cartes de votre pioche. Remettez l'une d'elles sur le dessus de votre pioche et l'autre en dessous.",Je souhaite commander à la Terre.,Veronica Di Lorenzo / Livio Cacciatore,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/41_bcb334dd0918dee9aca8571c2137a80f4a6a5d90.jpg,0
397,Jafar - Illusionniste ensorcelant,42,Amethyst,characters,"Floodborn, Méchant, Mage",7,True,Legendary,4.0,5.0,1.0,,3,Les Terres d'Encres,"Alter, Insaisissable","Alter 5 (Vous pouvez payer 5 pour jouer ce personnage sur l'un de vos personnages Jafar.) Insaisissable (Seuls les personnages avec Insaisissable peuvent défier ce personnage.) POUVOIR SANS LIMITE Tant que ce personnage est épuisé, gagnez 1 éclat de Lore pour chaque carte que vous piochez durant votre tour.",,Nicola Saviori,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/42_82ebb6a8537c9f9c3b43fde1e4d9d2b667aee2c3.jpg,0
398,Lena de sortilège - Adolescente rebelle,43,Amethyst,characters,"Storyborn, Héros, Mage",2,True,Common,1.0,3.0,1.0,,3,Les Terres d'Encres,Charge,Charge (Ce personnage peut défier le tour où il est joué.),Née des Ténèbres. Sauvée par l'amitié.,Heidi Neunhoffer,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/43_f916d9c4111a64b37fec1ae8111e15834de84658.jpg,0
399,Balais magiques - Plumeau dansant,44,Amethyst,characters,"Dreamborn, Balai",6,False,Uncommon,3.0,3.0,1.0,,3,Les Terres d'Encres,,"NETTOYAGE À FOND Si vous avez un personnage Mage en jeu lorsque vous jouez ce personnage, vous pouvez choisir un personnage adverse et l'épuiser. Il ne pourra pas être redressé au début de son prochain tour.",Propreté tout en souplesse.,Giulia Riva,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/44_ee96107256bfabd800f885eb3b62b9fd249913af.jpg,0
400,Balais magiques - Nettoyeur rapide,45,Amethyst,characters,"Dreamborn, Balai",5,False,Common,4.0,4.0,2.0,,3,Les Terres d'Encres,Charge,"Charge (Ce personnage peut défier le tour où il est joué.) NETTOIE CECI, NETTOIE CELA Lorsque vous jouez ce personnage, vous pouvez remélanger toutes les cartes Balai de votre défausse dans votre pioche.",Propreté express.,Cristian Romero,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/45_5daaefbaaa4b862f33bac4d10a54fa5fe1e61580.jpg,0
401,Balais magiques - Le grand nettoyeur,46,Amethyst,characters,"Dreamborn, Balai",3,True,Common,1.0,5.0,1.0,,3,Les Terres d'Encres,,"NETTOYEUR DE GRANDES SURFACES Tant que ce personnage se trouve sur un lieu, il gagne +2.",Propreté XXL.,Eri Welli,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/46_dd4f54a50090eff856437a02ace21dd6cb8a4182.jpg,0
402,Tapis volant - Carpette magique,47,Amethyst,characters,"Storyborn, Allié",2,True,Common,2.0,1.0,1.0,,3,Les Terres d'Encres,Insaisissable,Insaisissable (Seuls les personnages avec Insaisissable peuvent défier ce personnage.) TROUVE LE CHEMIN – Déplacez gratuitement l'un de vos personnages sur un lieu.,"Tapis et moi, on peut descendre en piqué, récupérer l'éclat et être de retour avant que quiconque ne s'en soit aperçu. —Aladdin",Cory Godbey,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/47_19113e69449186cfb044e3ff9abc5e26a50d9407.jpg,0
403,Miss tick - Sorcière ambitieuse,48,Amethyst,characters,"Storyborn, Méchant, Mage",2,True,Common,2.0,3.0,1.0,,3,Les Terres d'Encres,,,"Nourris mes pouvoirs, ténébreuse éclipse. Libère-moi des tréfonds de l'abysse. Magie dormante maintenant réveillée, la reine de l'ombre va se déchaîner!",Lissette Carrera,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/48_40d7a1dc956711449e0a7b6f1d5249a0087f2e52.jpg,0
404,Miss tick - Toucher de Midas,49,Amethyst,characters,"Floodborn, Méchant, Mage",7,False,Super,4.0,6.0,0.0,,3,Les Terres d'Encres,Alter,"Alter 5 (Vous pouvez payer 5 pour jouer ce personnage sur l'un de vos personnages Miss Tick.) TOUT EST À MOI Chaque fois que ce personnage est envoyé à l'aventure, gagnez un nombre d'éclats de Lore égal au coût d'un de vos objets en jeu.","Plus je me rapproche du sou fétiche de Picsou, plus je sens mon pouvoir prendre de l'ampleur!",Lauren Levering,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/49_e2d0245664dde6d4b362f347efa2c4bd79b04639.jpg,0
405,Miss tick - Sorcière en plein larcin,50,Amethyst,characters,"Storyborn, Méchant, Mage",4,True,Uncommon,3.0,4.0,2.0,,3,Les Terres d'Encres,,TÉLÉKINÉSIE – Choisissez un objet ayant un coût inférieur ou égal à la de ce personnage et renvoyez-le dans la main de son propriétaire.,Vous savez comment j'appelle ça? Un bon début!,Giulia Riva,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/50_51e6956c220d981356777726dc1d6baead41080c.jpg,0
406,Maléfique - Maîtresse du Mal,51,Amethyst,characters,"Storyborn, Méchant, Mage",5,True,Legendary,2.0,3.0,2.0,,3,Les Terres d'Encres,,"SAVOIR OBSCUR Chaque fois que ce personnage est envoyé à l'aventure, vous pouvez piocher une carte. DIVINATION Chaque fois que vous piochez une carte durant votre tour, vous pouvez choisir un personnage et déplacer 1 de ses jetons Dommage sur un personnage adverse de votre choix.",,Grace Tran,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/51_4767ed5b147aaac147fe23fe3babb2b4a0a0e94c.jpg,0
407,Mama odie - Voix de la sagesse,52,Amethyst,characters,"Dreamborn, Allié, Mage",6,False,Uncommon,3.0,6.0,2.0,,3,Les Terres d'Encres,,"ÉCOUTEZ BIEN VOTRE MAMA Chaque fois que ce personnage est envoyé à l'aventure, vous pouvez choisir un personnage et déplacer jusqu'à 2 de ses jetons Dommage sur un personnage adverse de votre choix.","Exactement ce qu'il fallait, Juju!",Cristian Romero,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/52_0d5710bf058a64e19c0b3beae7d1fc1dba98c303.jpg,0
408,Pua - Compagnon bedonnant,53,Amethyst,characters,"Storyborn, Allié",2,True,Common,2.0,2.0,2.0,,3,Les Terres d'Encres,,"TOUJOURS À TES CÔTÉS Lorsque ce personnage est banni, vous pouvez le remélanger dans votre pioche.",Toujours prêt à donner un coup de… euh… de groin.,Denny Minonne,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/53_cb79b18ae4bb6945f86d1cb191b756817e24e6ff.jpg,0
409,Rafiki - Combattant mystique,54,Amethyst,characters,"Dreamborn, Mentor, Mage",1,True,Rare,0.0,2.0,1.0,,3,Les Terres d'Encres,Offensif,"Offensif +3 (Lorsqu'il défie, ce personnage gagne +3.) TALENT ANCESTRAL Lorsque ce personnage défie un personnage Hyène, il ne subit aucun dommage pour ce défi.",Attention au bâton!,Otto Paredes,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/54_1e98dfbadb099779775119029484d19508416940.jpg,0
410,Stratos - Titan du vent,55,Amethyst,characters,"Storyborn, Titan",5,True,Rare,4.0,4.0,0.0,,3,Les Terres d'Encres,Insaisissable,Insaisissable (Seuls les personnages avec Insaisissable peuvent défier ce personnage.) CYCLONE – Gagnez un nombre d'éclats de Lore égal au nombre de personnages Titan que vous avez en jeu.,Balayer Zeus!,Jared Nickerl / Alice Pisoni,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/55_86813cb0870061c3bf5cc89cfabb29b3ae36ba2c.jpg,0
411,L'oiseau de feu - Force destructrice,56,Amethyst,characters,"Dreamborn, Méchant",4,True,Common,6.0,2.0,1.0,,3,Les Terres d'Encres,,,Sa rage se propage à travers la forêt%Déployant ses ailes de feu%Le printemps chante son refrain millénaire%Et la vie reprend ses droits,Hedvig Häggman-Sund,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/56_7dff5c14dcf14905616c443d39421ea35ef237c3.jpg,0
412,La reine - Rivale haineuse,57,Amethyst,characters,"Dreamborn, Méchant, Reine, Mage",3,True,Common,4.0,3.0,1.0,,3,Les Terres d'Encres,,,Une fine toile d'araignée pour la retenir%Un œil d'aigle pour bien la voir%Les sables du temps pour voler son passé%Je lance donc ma formule magique!,Anna Rud / Livio Cacciatore,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/57_2b84cb5e96adba189368c7db4aa73c2de905eb23.jpg,0
413,Le gardien du trésor - Protecteur de la Caverne,58,Amethyst,characters,Storyborn,4,False,Rare,6.0,6.0,2.0,,3,Les Terres d'Encres,,"QUI DONC VIENT TROUBLER MON REPOS? Ce personnage ne peut ni défier, ni être envoyé à l'aventure à moins qu'il ne soit présent sur un lieu.",Un seul humain peut ici entrer.,Hedvig Häggman-Sund,https://api.lorcana.ravensburger.com/images/fr/set3/cards/367x512/58_449fac83f678e5ba9a4defdfe1dbe27b6618a994.jpg,0
